rank	ensembl_id	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p
22	ENSG00000122008	POLK	polymerase (DNA directed) kappa [Source:HGNC Symbol;Acc:HGNC:9183]	5	q13.3	1	75511756	75601144	2.3258115	6.00E-50
23	ENSG00000074219	TEAD2	TEA domain family member 2 [Source:HGNC Symbol;Acc:HGNC:11715]	19	q13.33	-1	49340595	49362457	-1.584128528	4.89E-49
24	ENSG00000126934	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	19	p13.3	-1	4090321	4124129	-1.605582801	4.89E-49
25	ENSG00000211942	IGHV3-13	immunoglobulin heavy variable 3-13 [Source:HGNC Symbol;Acc:HGNC:5581]	14	q32.33	-1	106129540	106130072	1.988126892	1.06E-48
26	ENSG00000112697	TMEM30A	transmembrane protein 30A [Source:HGNC Symbol;Acc:HGNC:16667]	6	q14.1	-1	75252924	75284968	3.686802724	6.96E-48
27	ENSG00000152270	PDE3B	"phosphodiesterase 3B, cGMP-inhibited [Source:HGNC Symbol;Acc:HGNC:8779]"	11	p15.2	1	14643723	14872044	-2.254136222	1.73E-47
28	ENSG00000102531	FNDC3A	fibronectin type III domain containing 3A [Source:HGNC Symbol;Acc:HGNC:20296]	13	q14.2	1	48975912	49209779	1.688285292	2.11E-47
29	ENSG00000122756	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	9	p13.3	-1	34551432	34590140	-1.79933545	4.34E-47
30	ENSG00000111596	CNOT2	"CCR4-NOT transcription complex, subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]"	12	q15	1	70242994	70354993	-2.308328014	5.80E-47
31	ENSG00000185950	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	13	q34	-1	109752698	109786568	-3.801245884	7.66E-47
32	ENSG00000119318	RAD23B	"RAD23 homolog B, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9813]"	9	q31.2	1	107283137	107332194	-1.610309314	9.74E-47
33	ENSG00000171988	JMJD1C	jumonji domain containing 1C [Source:HGNC Symbol;Acc:HGNC:12313]	10	q21.3	-1	63167221	63521850	-2.307352913	2.46E-46
34	ENSG00000114573	ATP6V1A	"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851]"	3	q13.31	1	113747019	113812056	2.973893571	3.04E-46
35	ENSG00000185728	YTHDF3	YTH N(6)-methyladenosine RNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:26465]	8	q12.3	1	63168553	63212786	3.878540083	3.40E-46
36	ENSG00000148180	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	9	q33.2	1	121207794	121332843	3.656332942	5.32E-46
37	ENSG00000121892	PDS5A	PDS5 cohesin associated factor A [Source:HGNC Symbol;Acc:HGNC:29088]	4	p14	-1	39822863	39977956	-1.879996321	1.11E-44
38	ENSG00000114742	WDR48	WD repeat domain 48 [Source:HGNC Symbol;Acc:HGNC:30914]	3	p22.2	1	39051998	39096671	2.488618241	1.61E-44
39	ENSG00000134371	CDC73	cell division cycle 73 [Source:HGNC Symbol;Acc:HGNC:16783]	1	q31.2	1	193122017	193253901	-2.134618748	3.13E-44
40	ENSG00000227059	ANHX	anomalous homeobox [Source:HGNC Symbol;Acc:HGNC:40024]	12	q24.33	-1	133218312	133236095	-2.293112251	3.99E-44
41	ENSG00000134318	ROCK2	"Rho-associated, coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]"	2	p25.1	-1	11179761	11348330	1.63574803	6.17E-44
42	ENSG00000110422	HIPK3	homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]	11	p13	1	33256672	33357023	3.170081487	1.96E-43
43	ENSG00000100030	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	22	q11.22	-1	21754500	21867680	2.616334898	2.04E-43
44	ENSG00000176971	FIBIN	fin bud initiation factor homolog (zebrafish) [Source:HGNC Symbol;Acc:HGNC:33747]	11	p14.2	1	26994184	26996121	3.799438943	2.67E-43
45	ENSG00000175220	ARHGAP1	Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:673]	11	p11.2	-1	46677080	46700615	2.897589473	7.27E-43
46	ENSG00000180957	PITPNB	"phosphatidylinositol transfer protein, beta [Source:HGNC Symbol;Acc:HGNC:9002]"	22	q12.1	-1	27851669	27920134	-1.899074224	8.56E-43
47	ENSG00000009844	VTA1	vesicle (multivesicular body) trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]	6	q24.1	1	142147162	142224689	1.882522057	3.37E-42
48	ENSG00000107679	PLEKHA1	"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1 [Source:HGNC Symbol;Acc:HGNC:14335]"	10	q26.13	1	122374696	122442602	3.217128842	1.14E-41
49	ENSG00000108946	PRKAR1A	"protein kinase, cAMP-dependent, regulatory, type I, alpha [Source:HGNC Symbol;Acc:HGNC:9388]"	17	q24.2	1	68511780	68551319	3.219194964	1.17E-41
50	ENSG00000236013			6	q24.1	1	140067435	140093721	-2.054986966	2.51E-41
51	ENSG00000153046	CDYL	"chromodomain protein, Y-like [Source:HGNC Symbol;Acc:HGNC:1811]"	6	p25.1	1	4706159	4955551	-2.036274995	2.89E-41
52	ENSG00000122218	COPA	"coatomer protein complex, subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]"	1	q23.2	-1	160289273	160343400	2.760085446	6.67E-41
53	ENSG00000226304			10	p12.1	-1	25924448	25933710	-1.643068401	7.38E-41
54	ENSG00000105974	CAV1	"caveolin 1, caveolae protein, 22kDa [Source:HGNC Symbol;Acc:HGNC:1527]"	7	q31.2	1	116524785	116561184	3.481022379	8.51E-41
55	ENSG00000205213	LGR4	leucine-rich repeat containing G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:13299]	11	p14.1	-1	27365961	27472775	-1.356245879	8.51E-41
56	ENSG00000138593	SECISBP2L	SECIS binding protein 2-like [Source:HGNC Symbol;Acc:HGNC:28997]	15	q21.1	-1	48988476	49046563	-1.590114703	1.17E-40
57	ENSG00000120063	GNA13	"guanine nucleotide binding protein (G protein), alpha 13 [Source:HGNC Symbol;Acc:HGNC:4381]"	17	q24.1	-1	65010715	65056839	1.760561332	1.37E-40
58	ENSG00000138398	PPIG	peptidylprolyl isomerase G (cyclophilin G) [Source:HGNC Symbol;Acc:HGNC:14650]	2	q31.1	1	169584340	169641406	-2.306834962	3.51E-40
59	ENSG00000196353	CPNE4	copine IV [Source:HGNC Symbol;Acc:HGNC:2317]	3	q22.1	-1	131533555	132285410	-3.782637959	5.46E-40
60	ENSG00000053770	AP5M1	"adaptor-related protein complex 5, mu 1 subunit [Source:HGNC Symbol;Acc:HGNC:20192]"	14	q22.3	1	57268909	57298742	2.251399806	5.79E-40
61	ENSG00000075702	WDR62	WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502]	19	q13.12	1	36054881	36105106	-1.552846111	9.46E-40
62	ENSG00000124155	PIGT	"phosphatidylinositol glycan anchor biosynthesis, class T [Source:HGNC Symbol;Acc:HGNC:14938]"	20	q13.12	1	45416077	45426244	-1.99881822	1.04E-39
63	ENSG00000257103	LSM14A	LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]	19	q13.11	1	34172504	34229515	-2.240632972	1.05E-39
64	ENSG00000071967	CYBRD1	cytochrome b reductase 1 [Source:HGNC Symbol;Acc:HGNC:20797]	2	q31.1	1	171522247	171558133	4.067029265	4.33E-39
65	ENSG00000187735	TCEA1	"transcription elongation factor A (SII), 1 [Source:HGNC Symbol;Acc:HGNC:11612]"	8	q11.23	-1	53966552	54022529	-1.280181091	2.17E-38
66	ENSG00000197061	HIST1H4C	"histone cluster 1, H4c [Source:HGNC Symbol;Acc:HGNC:4787]"	6	p22.2	1	26103876	26104310	2.430512713	2.44E-38
67	ENSG00000141140	NA	NA	NA	NA	NA	NA	NA	-1.818524291	2.75E-38
68	ENSG00000166979	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:HGNC:13239]	21	q22.11	1	32412006	32515397	-2.048264826	4.05E-38
69	ENSG00000138674	SEC31A	"SEC31 homolog A, COPII coating complex component [Source:HGNC Symbol;Acc:HGNC:17052]"	4	q21.22	-1	82818661	82901166	-2.088050271	4.65E-38
70	ENSG00000121741	ZMYM2	"zinc finger, MYM-type 2 [Source:HGNC Symbol;Acc:HGNC:12989]"	13	q12.11	1	19958670	20091829	-1.97407485	9.46E-38
71	ENSG00000084764	MAPRE3	"microtubule-associated protein, RP/EB family, member 3 [Source:HGNC Symbol;Acc:HGNC:6892]"	2	p23.3	1	26970612	27027196	-1.884562806	1.14E-37
72	ENSG00000158486	DNAH3	"dynein, axonemal, heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:2949]"	16	p12.3	-1	20933111	21159441	1.390198295	1.77E-37
73	ENSG00000211448	DIO2	"deiodinase, iodothyronine, type II [Source:HGNC Symbol;Acc:HGNC:2884]"	14	q31.1	-1	80197527	80387757	3.956619	1.83E-37
74	ENSG00000101888	NXT2	nuclear transport factor 2-like export factor 2 [Source:HGNC Symbol;Acc:HGNC:18151]	X	q23	1	109535781	109544690	2.5201925	4.86E-37
75	ENSG00000171150	SOCS5	suppressor of cytokine signaling 5 [Source:HGNC Symbol;Acc:HGNC:16852]	2	p21	1	46698952	46763129	2.102123266	6.75E-37
76	ENSG00000119048	UBE2B	ubiquitin-conjugating enzyme E2B [Source:HGNC Symbol;Acc:HGNC:12473]	5	q31.1	1	134371179	134391992	-2.05884688	7.95E-37
77	ENSG00000246922	UBAP1L	ubiquitin associated protein 1-like [Source:HGNC Symbol;Acc:HGNC:40028]	15	q22.31	-1	65092770	65115197	-1.697700242	9.09E-37
78	ENSG00000100883	SRP54	signal recognition particle 54kDa [Source:HGNC Symbol;Acc:HGNC:11301]	14	q13.2	1	34981957	35029567	-2.320696376	1.35E-36
79	ENSG00000109686	SH3D19	SH3 domain containing 19 [Source:HGNC Symbol;Acc:HGNC:30418]	4	q31.3	-1	151102751	151325632	-1.370791862	1.48E-36
80	ENSG00000073712	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	14	q22.1	-1	52857268	52952435	2.787394809	2.02E-36
81	ENSG00000185236	RAB11B	"RAB11B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9761]"	19	p13.2	1	8389981	8404434	-1.76692212	2.08E-36
82	ENSG00000072682	P4HA2	"prolyl 4-hydroxylase, alpha polypeptide II [Source:HGNC Symbol;Acc:HGNC:8547]"	5	q31.1	-1	132191838	132295315	-1.30141106	2.29E-36
83	ENSG00000109171	SLAIN2	"SLAIN motif family, member 2 [Source:HGNC Symbol;Acc:HGNC:29282]"	4	p11	1	48341322	48426212	2.277420033	3.11E-36
84	ENSG00000163681	SLMAP	sarcolemma associated protein [Source:HGNC Symbol;Acc:HGNC:16643]	3	p14.3	1	57755450	57929168	3.234066418	3.20E-36
85	ENSG00000114861	FOXP1	forkhead box P1 [Source:HGNC Symbol;Acc:HGNC:3823]	3	p13	-1	70954693	71583989	-2.313326291	4.46E-36
86	ENSG00000247570	SDCBPP2	syndecan binding protein (syntenin) pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44686]	8	q13.3	1	69942948	69944648	1.673954417	4.58E-36
87	ENSG00000182326	C1S	"complement component 1, s subcomponent [Source:HGNC Symbol;Acc:HGNC:1247]"	12	p13.31	1	6988259	7071032	4.401023367	5.56E-36
88	ENSG00000136928	GABBR2	"gamma-aminobutyric acid (GABA) B receptor, 2 [Source:HGNC Symbol;Acc:HGNC:4507]"	9	q22.33	-1	98288109	98709197	-1.350014432	9.11E-36
89	ENSG00000101911	PRPS2	phosphoribosyl pyrophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:9465]	X	p22.2	1	12791355	12824222	1.932619766	9.86E-36
90	ENSG00000162614	NEXN	nexilin (F actin binding protein) [Source:HGNC Symbol;Acc:HGNC:29557]	1	p31.1	1	77888513	77943895	3.107522011	1.01E-35
91	ENSG00000265460			17	q12	1	39238466	39250818	-1.386870502	1.08E-35
92	ENSG00000107929	LARP4B	"La ribonucleoprotein domain family, member 4B [Source:HGNC Symbol;Acc:HGNC:28987]"	10	p15.3	-1	806914	931705	2.835128106	1.42E-35
93	ENSG00000139163	ETNK1	ethanolamine kinase 1 [Source:HGNC Symbol;Acc:HGNC:24649]	12	p12.1	1	22625075	22690665	-1.059529351	1.61E-35
94	ENSG00000130150	MOSPD2	motile sperm domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28381]	X	p22.2	1	14873441	14922327	2.278258854	2.29E-35
95	ENSG00000169967	MAP3K2	mitogen-activated protein kinase kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6854]	2	q14.3	-1	127298730	127388465	2.030462459	4.37E-35
96	ENSG00000125755	SYMPK	symplekin [Source:HGNC Symbol;Acc:HGNC:22935]	19	q13.32	-1	45815410	45863290	-1.803830525	9.02E-35
97	ENSG00000167005	NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21 [Source:HGNC Symbol;Acc:HGNC:13870]	16	q13	-1	56429133	56452199	1.907424701	1.13E-34
98	ENSG00000163872	YEATS2	YEATS domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25489]	3	q27.1	1	183697818	183812625	-2.112779678	1.78E-34
99	ENSG00000136167	LCP1	lymphocyte cytosolic protein 1 (L-plastin) [Source:HGNC Symbol;Acc:HGNC:6528]	13	q14.13	-1	46125920	46211871	-1.7286875	3.72E-34
100	ENSG00000130997	POLN	polymerase (DNA directed) nu [Source:HGNC Symbol;Acc:HGNC:18870]	4	p16.3	-1	2071918	2242121	-1.38776646	4.26E-34
101	ENSG00000139793	MBNL2	muscleblind-like splicing regulator 2 [Source:HGNC Symbol;Acc:HGNC:16746]	13	q32.1	1	97221434	97394120	3.73972366	5.13E-34
102	ENSG00000107362	ABHD17B	abhydrolase domain containing 17B [Source:HGNC Symbol;Acc:HGNC:24278]	9	q21.13	-1	71862452	71910931	1.872875189	5.51E-34
103	ENSG00000137944	CCBL2	cysteine conjugate-beta lyase 2 [Source:HGNC Symbol;Acc:HGNC:33238]	1	p22.2	-1	88935773	88992953	-1.979870272	5.98E-34
104	ENSG00000095787	WAC	WW domain containing adaptor with coiled-coil [Source:HGNC Symbol;Acc:HGNC:17327]	10	p12.1	1	28532493	28623112	1.775484591	7.57E-34
105	ENSG00000108021	FAM208B	"family with sequence similarity 208, member B [Source:HGNC Symbol;Acc:HGNC:23484]"	10	p15.1	1	5684838	5763740	-1.860229045	7.57E-34
106	ENSG00000206573	THUMPD3-AS1	THUMPD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44478]	3	p25.3	-1	9349689	9398579	-1.80766843	9.75E-34
107	ENSG00000175895	PLEKHF2	"pleckstrin homology domain containing, family F (with FYVE domain) member 2 [Source:HGNC Symbol;Acc:HGNC:20757]"	8	q22.1	1	95133804	95156684	2.764711984	1.01E-33
108	ENSG00000057663	ATG5	autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]	6	q21	-1	106184476	106325820	2.767036301	1.56E-33
109	ENSG00000144224	UBXN4	UBX domain protein 4 [Source:HGNC Symbol;Acc:HGNC:14860]	2	q21.3	1	135741619	135785055	2.37196685	2.15E-33
110	ENSG00000189079	ARID2	"AT rich interactive domain 2 (ARID, RFX-like) [Source:HGNC Symbol;Acc:HGNC:18037]"	12	q12	1	45729665	45908040	-2.433662636	2.79E-33
111	ENSG00000044115	CTNNA1	"catenin (cadherin-associated protein), alpha 1, 102kDa [Source:HGNC Symbol;Acc:HGNC:2509]"	5	q31.2	1	138610967	138935034	3.852773259	3.16E-33
112	ENSG00000164125	FAM198B	"family with sequence similarity 198, member B [Source:HGNC Symbol;Acc:HGNC:25312]"	4	q32.1	-1	158124474	158173318	2.662623001	3.16E-33
113	ENSG00000159131	GART	"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]"	21	q22.11	-1	33503931	33543491	-2.231498875	3.72E-33
114	ENSG00000134533	RERG	"RAS-like, estrogen-regulated, growth inhibitor [Source:HGNC Symbol;Acc:HGNC:15980]"	12	p12.3	-1	15107783	15348675	2.639785477	5.21E-33
115	ENSG00000071127	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	4	p16.1	-1	10074339	10116949	2.395577527	6.74E-33
116	ENSG00000095397	DFNB31	"deafness, autosomal recessive 31 [Source:HGNC Symbol;Acc:HGNC:16361]"	9	q32	-1	114402080	114505450	-3.072926036	1.00E-32
117	ENSG00000124831	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]	2	q37.3	1	237627576	237813682	-2.104489719	1.24E-32
118	ENSG00000124198	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited) [Source:HGNC Symbol;Acc:HGNC:15853]	20	q13.13	1	48921890	49036693	-1.272745835	1.30E-32
119	ENSG00000169398	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	8	q24.3	-1	140657900	141002216	-1.398619167	1.74E-32
120	ENSG00000230021			1	p36.33	-1	601436	724707	-1.297974725	1.76E-32
121	ENSG00000085832	EPS15	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]	1	p32.3	-1	51354263	51519328	-1.309162303	2.69E-32
122	ENSG00000138698	RAP1GDS1	"RAP1, GTP-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:HGNC:9859]"	4	q23	1	98261384	98443861	2.171177892	2.99E-32
123	ENSG00000223519	KIF28P	"kinesin family member 28, pseudogene [Source:HGNC Symbol;Acc:HGNC:49205]"	1	q44	-1	246771837	246830059	-1.440882534	4.60E-32
124	ENSG00000167325	RRM1	ribonucleotide reductase M1 [Source:HGNC Symbol;Acc:HGNC:10451]	11	p15.4	1	4094707	4138876	2.421464023	4.63E-32
125	ENSG00000087338	GMCL1	"germ cell-less, spermatogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:23843]"	2	p13.3	1	69829642	69881396	2.299704255	5.23E-32
126	ENSG00000146463	ZMYM4	"zinc finger, MYM-type 4 [Source:HGNC Symbol;Acc:HGNC:13055]"	1	p34.3	1	35268967	35422058	1.621322328	6.53E-32
127	ENSG00000152520	PAN3	PAN3 poly(A) specific ribonuclease subunit [Source:HGNC Symbol;Acc:HGNC:29991]	13	q12.2	1	28138506	28295335	-2.089219265	7.95E-32
128	ENSG00000149179	C11orf49	chromosome 11 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28720]	11	p11.2	1	46936689	47164385	-1.114165978	8.18E-32
129	ENSG00000073921	PICALM	phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514]	11	q14.2	-1	85957684	86069882	3.337720062	1.06E-31
130	ENSG00000153201	RANBP2	RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848]	2	q13	1	108719481	108785811	-1.661294556	2.27E-31
131	ENSG00000075413	MARK3	MAP/microtubule affinity-regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]	14	q32.32	1	103385392	103503831	-1.943708544	2.36E-31
132	ENSG00000158290	CUL4B	cullin 4B [Source:HGNC Symbol;Acc:HGNC:2555]	X	q24	-1	120524609	120575794	2.155442344	3.08E-31
133	ENSG00000166226	CCT2	"chaperonin containing TCP1, subunit 2 (beta) [Source:HGNC Symbol;Acc:HGNC:1615]"	12	q15	1	69585334	69601570	1.926031612	4.06E-31
134	ENSG00000055208	TAB2	TGF-beta activated kinase 1/MAP3K7 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]	6	q25.1	1	149218641	149411613	2.041712044	4.58E-31
135	ENSG00000141027	NCOR1	nuclear receptor corepressor 1 [Source:HGNC Symbol;Acc:HGNC:7672]	17	p11.2	-1	16029157	16218185	-2.621367361	5.37E-31
136	ENSG00000132294	EFR3A	EFR3 homolog A [Source:HGNC Symbol;Acc:HGNC:28970]	8	q24.22	1	131904088	132013642	-1.93354236	5.73E-31
137	ENSG00000167657	DAPK3	death-associated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:2676]	19	p13.3	-1	3958453	3971123	2.066027189	8.97E-31
138	ENSG00000108861	DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	17	q21.31	-1	43766121	43778988	2.360296512	9.81E-31
139	ENSG00000119912	IDE	insulin-degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]	10	q23.33	-1	92451684	92574076	2.564573575	1.24E-30
140	ENSG00000111142	METAP2	methionyl aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:16672]	12	q22	1	95473520	95515839	-1.44883521	1.29E-30
141	ENSG00000170035	UBE2E3	ubiquitin-conjugating enzyme E2E 3 [Source:HGNC Symbol;Acc:HGNC:12479]	2	q31.3	1	180967248	181076585	-2.591175742	1.70E-30
142	ENSG00000172493	AFF1	"AF4/FMR2 family, member 1 [Source:HGNC Symbol;Acc:HGNC:7135]"	4	q21.3	1	86935002	87141054	-1.974754357	2.08E-30
143	ENSG00000118518	RNF146	ring finger protein 146 [Source:HGNC Symbol;Acc:HGNC:21336]	6	q22.33	1	127266610	127288567	2.392163871	2.15E-30
144	ENSG00000204610	TRIM15	tripartite motif containing 15 [Source:HGNC Symbol;Acc:HGNC:16284]	6	p22.1	1	30163206	30172696	-1.169082094	2.44E-30
145	ENSG00000108406	DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide 40 [Source:HGNC Symbol;Acc:HGNC:18018]	17	q23.1	1	59565525	59608345	1.4947458	2.80E-30
146	ENSG00000056097	ZFR	zinc finger RNA binding protein [Source:HGNC Symbol;Acc:HGNC:17277]	5	p13.3	-1	32354350	32444761	-1.899008016	3.48E-30
147	ENSG00000119638	NEK9	NIMA-related kinase 9 [Source:HGNC Symbol;Acc:HGNC:18591]	14	q24.3	-1	75079353	75127344	1.481646736	4.21E-30
148	ENSG00000170348	TMED10	transmembrane emp24-like trafficking protein 10 (yeast) [Source:HGNC Symbol;Acc:HGNC:16998]	14	q24.3	-1	75131470	75176631	-1.132287968	4.66E-30
149	ENSG00000072401	UBE2D1	ubiquitin-conjugating enzyme E2D 1 [Source:HGNC Symbol;Acc:HGNC:12474]	10	q21.1	1	58334975	58370753	1.54537881	8.33E-30
150	ENSG00000187609	EXD3	exonuclease 3'-5' domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26023]	9	q34.3	-1	137306896	137423262	-1.047709733	9.33E-30
151	ENSG00000172159	FRMD3	FERM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24125]	9	q21.32	-1	83242990	83538546	2.401163755	9.34E-30
152	ENSG00000135932	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	2	q37.1	1	230712845	230821075	2.661468062	1.45E-29
153	ENSG00000171723	GPHN	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]	14	q23.3	1	66507407	67181803	-1.227151813	1.66E-29
154	ENSG00000130477	UNC13A	unc-13 homolog A (C. elegans) [Source:HGNC Symbol;Acc:HGNC:23150]	19	p13.11	-1	17601328	17688365	-1.035823489	1.74E-29
155	ENSG00000143919	CAMKMT	calmodulin-lysine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:26276]	2	p21	1	44361950	44772592	-1.953602032	2.12E-29
156	ENSG00000143387	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	1	q21.3	-1	150796208	150808323	2.660590204	2.24E-29
