gene_no	ensembl_id	rank	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p	rank	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p
15	ENSG00000001630	5440	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:2649]	7	q21.2	-1	92112151	92142952	-0.50	8.96E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	ENSG00000001631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4033	KRIT1	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	7	q21.2	-1	92198969	92246166	-0.370983781	0.007208963
17	ENSG00000002016	12124	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	12	p13.33	-1	912077	990053	0.06	1.46E-01	9420	RAD52	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	12	p13.33	-1	912077	990053	0.005862223	0.974514013
18	ENSG00000002330	11157	BAD	BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	11	q13.1	-1	64269830	64284704	0.04	6.49E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	ENSG00000002549	15709	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	4	p15.32	1	17577192	17607972	0.02	7.79E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	ENSG00000002586	5226	CD99	CD99 molecule [Source:HGNC Symbol;Acc:HGNC:7082]	X	p22.33	1	2691179	2741309	-0.23	3.19E-08	5392	CD99	CD99 molecule [Source:HGNC Symbol;Acc:HGNC:7082]	X	p22.33	1	2691179	2741309	0.414664468	0.071147879
21	ENSG00000002587	13171	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	4	p15.33	-1	11393150	11429765	0.07	2.81E-01	9138	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	4	p15.33	-1	11393150	11429765	0.041808784	0.896179182
22	ENSG00000002726	661	AOC1	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	7	q36.1	1	150824627	150861504	-1.93	2.05E-41	6226	AOC1	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	7	q36.1	1	150824627	150861504	0.77225966	0.182028167
23	ENSG00000002745	13728	WNT16	wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:HGNC:16267]	7	q31.31	1	121325367	121341104	-0.08	3.68E-01	9245	WNT16	wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:HGNC:16267]	7	q31.31	1	121325367	121341104	-0.018071737	0.928821985
24	ENSG00000002822	5134	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:HGNC:6762]	7	p22.3	-1	1815793	2233243	0.19	2.21E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	ENSG00000002834	10677	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	17	q12	1	38869859	38921770	-0.20	3.96E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	ENSG00000002919	8986	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	17	q21.32	1	48103357	48123074	-0.09	3.84E-03	8754	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	17	q21.32	1	48103357	48123074	-0.038016404	0.796170201
27	ENSG00000002933	2814	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	7	q36.1	1	150800403	150805120	-0.58	5.12E-16	5956	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	7	q36.1	1	150800403	150805120	0.489255208	0.135779022
28	ENSG00000003056	2778	M6PR	mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:HGNC:6752]	12	p13.31	-1	8940363	8949955	-0.25	3.02E-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	ENSG00000003096	1263	KLHL13	kelch-like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	X	q24	-1	117897813	118117340	-0.64	2.58E-29	2721	KLHL13	kelch-like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	X	q24	-1	117897813	118117340	0.769331907	9.14E-05
30	ENSG00000003137	7485	CYP26B1	cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:20581]	2	p13.2	-1	72129238	72148038	-0.25	1.44E-04	5169	CYP26B1	cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:20581]	2	p13.2	-1	72129238	72148038	-0.282100058	0.051461458
31	ENSG00000003147	693	ICA1	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:HGNC:5343]	7	p21.3	-1	8113184	8262687	0.78	1.12E-40	6706	ICA1	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:HGNC:5343]	7	p21.3	-1	8113184	8262687	-0.260597604	0.275312453
32	ENSG00000003249	479	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	16	q24.3	-1	90004865	90020128	1.00	3.31E-47	1903	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	16	q24.3	-1	90004865	90020128	-0.809440043	6.01E-07
33	ENSG00000003393	10302	ALS2	amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:HGNC:443]	2	q33.1	-1	201700554	201781189	0.10	2.58E-02	4504	ALS2	amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:HGNC:443]	2	q33.1	-1	201700554	201781189	-0.427425628	0.018246057
34	ENSG00000003400	14382	CASP10	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:1500]	2	q33.1	1	201182881	201229406	0.06	4.83E-01	3822	CASP10	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:1500]	2	q33.1	1	201182881	201229406	0.556542792	0.004285248
35	ENSG00000003402	7071	CFLAR	CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	2	q33.1	1	201116104	201176687	-0.13	4.70E-05	1226	CFLAR	CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	2	q33.1	1	201116104	201176687	1.592688944	3.36E-10
36	ENSG00000003436	8944	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:HGNC:11760]	2	q32.1	-1	187464230	187565760	-0.51	3.60E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	ENSG00000003509	12259	NDUFAF7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	2	p22.2	1	37231631	37253403	0.05	1.60E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	ENSG00000003756	8746	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	3	p21.31	1	50088908	50119021	0.09	2.48E-03	455	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	3	p21.31	1	50088908	50119021	-1.960428152	4.40E-19
39	ENSG00000003987	12492	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	8	p22	-1	17298030	17413528	0.10	1.86E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	ENSG00000003989	14900	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	8	p22	1	17497088	17570573	-0.03	5.89E-01	5153	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	8	p22	1	17497088	17570573	0.421406148	0.050782057
41	ENSG00000004059	9455	ARF5	ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]	7	q32.1	1	127588345	127591705	0.16	8.17E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	ENSG00000004139	3743	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]	17	q11.2	1	28364356	28404049	0.54	3.46E-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	ENSG00000004142	4873	POLDIP2	polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]	17	q11.2	-1	28347177	28357522	0.29	5.18E-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	ENSG00000004399	4493	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	3	q22.1	-1	129555175	129606818	-0.22	5.32E-10	3465	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	3	q22.1	-1	129555175	129606818	0.690611855	0.001579693
45	ENSG00000004468	1953	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	4	p15.32	1	15778275	15853230	-1.02	1.54E-21	2214	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	4	p15.32	1	15778275	15853230	2.19440168	5.78E-06
46	ENSG00000004487	4904	KDM1A	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	1	p36.12	1	23019448	23083689	0.39	6.33E-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	ENSG00000004534	7897	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	3	p21.31	1	49940007	50100045	0.14	4.04E-04	964	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	3	p21.31	1	49940007	50100045	-1.615853057	3.30E-12
48	ENSG00000004660	10430	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:HGNC:1469]	17	p13.2	-1	3860315	3894891	0.12	3.03E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	ENSG00000004700	10872	RECQL	RecQ helicase-like [Source:HGNC Symbol;Acc:HGNC:9948]	12	p12.1	-1	21468911	21501669	-0.17	4.76E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	ENSG00000004766	11004	VPS50	VPS50 EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]	7	q21.2	1	93232340	93361121	0.03	5.55E-02	6850	VPS50	VPS50 EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]	7	q21.2	1	93232340	93361121	0.160405591	0.304528798
51	ENSG00000004776	15342	HSPB6	heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:HGNC:26511]	19	q13.12	-1	35754568	35758079	-0.04	6.97E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	ENSG00000004777	11664	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]	19	q13.12	1	35774532	35788822	0.10	1.05E-01	685	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]	19	q13.12	1	35774532	35788822	-1.691307009	3.16E-15
53	ENSG00000004779	6312	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:HGNC:7694]	16	p12.2	-1	23581002	23596356	0.13	3.66E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	ENSG00000004799	2212	PDK4	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:HGNC:8812]	7	q21.3	-1	95583499	95596491	-0.81	1.74E-19	5747	PDK4	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:HGNC:8812]	7	q21.3	-1	95583499	95596491	-0.494043338	0.107581887
55	ENSG00000004809	16500	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:HGNC:20302]	6	q21	-1	110424687	110476641	-0.02	9.63E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	ENSG00000004838	6995	ZMYND10	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	3	p21.31	-1	50341110	50346852	0.72	3.71E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	ENSG00000004846	16294	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:HGNC:46]	7	p21.1	1	20615207	20777038	0.00	9.07E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	ENSG00000004848	9285	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]	X	p21.3	-1	25003694	25015948	0.30	6.12E-03	5864	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]	X	p21.3	-1	25003694	25015948	0.747413316	0.121678769
59	ENSG00000004864	2515	SLC25A13	solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	7	q21.3	-1	96120220	96322147	0.59	1.07E-17	2595	SLC25A13	solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	7	q21.3	-1	96120220	96322147	-0.693927618	4.87E-05
60	ENSG00000004866	10605	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	7	q31.2	1	116953238	117230103	0.09	3.67E-02	5696	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	7	q31.2	1	116953238	117230103	0.251568485	0.101569977
61	ENSG00000004897	8689	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	17	q21.32	-1	47117703	47189422	-0.14	2.22E-03	2766	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	17	q21.32	-1	47117703	47189422	0.647549675	0.000118042
62	ENSG00000004975	3609	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	17	p13.1	-1	7225341	7234545	-0.22	1.15E-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	ENSG00000005001	13494	PRSS22	protease, serine, 22 [Source:HGNC Symbol;Acc:HGNC:14368]	16	p13.3	-1	2852727	2858170	-0.06	3.28E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	ENSG00000005007	2831	UPF1	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:9962]	19	p13.11	1	18831938	18868236	0.32	6.03E-16	1694	UPF1	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:9962]	19	p13.11	1	18831938	18868236	0.744294886	8.58E-08
65	ENSG00000005020	1946	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	7	p15.2	-1	26667062	26995239	0.41	1.28E-21	1126	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	7	p15.2	-1	26667062	26995239	0.899088345	5.47E-11
66	ENSG00000005022	8922	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	X	q24	1	119468400	119471319	0.20	3.50E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	ENSG00000005059	7586	CCDC109B	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:HGNC:26076]	4	q25	1	109560205	109688726	-0.17	1.79E-04	2192	CCDC109B	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:HGNC:26076]	4	q25	1	109560205	109688726	1.04015145	4.92E-06
68	ENSG00000005073	12961	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	7	p15.2	-1	27181510	27185223	-0.08	2.50E-01	5946	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	7	p15.2	-1	27181510	27185223	0.388592788	0.134622375
69	ENSG00000005100	15485	DHX33	DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:HGNC Symbol;Acc:HGNC:16718]	17	p13.2	-1	5440912	5469060	0.07	7.27E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	ENSG00000005102	9802	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	17	q21.31	-1	43640388	43661954	0.10	1.33E-02	2677	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	17	q21.31	-1	43640388	43661954	0.974910293	7.60E-05
71	ENSG00000005108	15597	THSD7A	thrombospondin, type I, domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	7	p21.3	-1	11370357	11832198	-0.08	7.52E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	ENSG00000005156	2147	LIG3	ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:HGNC:6600]	17	q12	1	34980494	35009743	0.47	6.23E-20	3863	LIG3	ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:HGNC:6600]	17	q12	1	34980494	35009743	0.525882641	0.004881072
73	ENSG00000005175	10564	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]	12	q13.11	-1	47661249	47706061	0.03	3.53E-02	4977	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]	12	q13.11	-1	47661249	47706061	0.39834851	0.039135495
74	ENSG00000005187	1776	ACSM3	acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	16	p12.3	1	20610243	20797581	1.42	3.74E-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	ENSG00000005194	9197	CIAPIN1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	16	q21	-1	57428169	57447528	0.08	5.41E-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	ENSG00000005243	118	COPZ2	coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]	17	q21.32	-1	48026167	48038030	-1.00	1.82E-73	5260	COPZ2	coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]	17	q21.32	-1	48026167	48038030	-0.294185625	0.059266678
77	ENSG00000005249	7266	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:HGNC:9392]	7	q22.3	1	107044649	107161811	-0.36	8.37E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	ENSG00000005302	6543	MSL3	male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:7370]	X	p22.2	1	11758159	11775753	0.13	8.60E-06	7032	MSL3	male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:7370]	X	p22.2	1	11758159	11775753	-0.16261161	0.349653799
79	ENSG00000005339	10194	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	16	p13.3	-1	3725054	3880726	-0.06	2.23E-02	6004	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	16	p13.3	-1	3725054	3880726	-0.26755982	0.141443998
80	ENSG00000005379	13441	BZRAP1	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]	17	q22	-1	58301228	58328760	0.06	3.20E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	ENSG00000005381	11468	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]	17	q22	-1	58269856	58280935	0.10	8.90E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	ENSG00000005421	15825	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	7	q21.3	-1	95297676	95324707	0.03	8.06E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	ENSG00000005436	4235	GCFC2	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]	2	p12	-1	75652000	75710989	0.38	9.67E-11	7768	GCFC2	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]	2	p12	-1	75652000	75710989	0.093723151	0.543279872
84	ENSG00000005448	3992	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	2	p13.1	1	74421678	74425755	0.40	2.03E-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	ENSG00000005469	11052	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	7	q21.12	1	87345681	87399795	-0.02	5.88E-02	6499	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	7	q21.12	1	87345681	87399795	-0.294804384	0.23784673
86	ENSG00000005483	6397	KMT2E	lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541]	7	q22.3	1	105014179	105114361	-0.23	4.96E-06	1380	KMT2E	lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541]	7	q22.3	1	105014179	105114361	-0.962320203	1.83E-09
87	ENSG00000005486	11420	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]	7	q11.23	1	75842602	75888926	-0.09	8.52E-02	3875	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]	7	q11.23	1	75842602	75888926	0.824186057	0.00497689
88	ENSG00000005513	2539	SOX8	SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:HGNC:11203]	16	p13.3	1	981808	986979	0.79	1.59E-17	7351	SOX8	SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:HGNC:11203]	16	p13.3	1	981808	986979	0.181949981	0.429182358
89	ENSG00000005700	11188	IBTK	inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]	6	q14.1	-1	82169983	82247754	0.05	6.71E-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
